N,F,B,T,Part1&2,Part3,Part4
128,1,1,16,0.836892,0.841906,0.772621
32,64,1,256,0.356333,0.2128,0.207607
128,1,1,64,0.312899,0.305538,0.24354
32,64,1,32,1.030263,1.004093,1.001148
128,1,1,1,9.257293,9.451338,9.25951
128,1,1,4,2.521155,2.569425,2.476005
128,1,1,32,0.559474,0.555818,0.490576
4,32768,1,1024,0.52663,0.061392,0.728022
128,1,1,256,0.141365,0.132807,0.069818
32,64,1,128,0.383897,0.307887,0.304848
4,32768,1,1,49.422134,19.814367,20.384872
32,64,1,1,11.311575,11.507062,11.371082
32,64,1,512,0.51541,0.165775,0.15911
32,64,1,4,3.713492,3.736752,3.70382
128,1,1,512,0.117113,0.105745,0.046012
128,1,1,1024,0.07173,0.061309,0.001431
32,64,1,16,1.598191,1.56388,1.557263
32,64,1,1024,0.07295,0.061325,0.063169
128,1,1,128,0.199314,0.191041,0.129207
32,64,1,64,0.595772,0.529194,0.52835
